family,algorithm,n,p,relative risk,relative test error gaussian,proportion of variance explained gaussian,relative test error,proportion of variance explained,beta error,relative beta error,relative prediction error,corr,time
gaussian,gpu_woodbury,20,20,102.10819499018223,10.434426296768203,9.262235290221113,10.434426296768203,9.262235290221113,17.657261238736666,8.881117461376679,23.38222096790542,9.54250282133505,0.12285835080855044,2.7548601627349854
gaussian,gpu_svd,20,20,102.10819499018089,10.434426296768068,9.26223529022099,10.434426296768068,9.26223529022099,17.657261238736577,8.881117461376519,23.382220967905297,9.54250282133488,0.1228583508085538,1.8430795669555664
gaussian,gpu_rsvd,20,20,102.10819499018082,10.434426296768063,9.262235290220987,10.434426296768063,9.262235290220987,17.657261238736577,8.881117461376514,23.382220967905297,9.542502821334873,0.12285835080855255,1.9207942485809326
gaussian,cpu_woodbury,20,20,102.10819499018122,10.434426296768102,9.262235290221023,10.434426296768102,9.262235290221023,17.65726123873658,8.881117461376515,23.38222096790531,9.542502821334873,0.12285835080855358,1.6834423542022705
gaussian,cpu_svd,20,20,102.10819499018082,10.434426296768063,9.262235290220987,10.434426296768063,9.262235290220987,17.65726123873657,8.88111746137651,23.382220967905294,9.542502821334867,0.12285835080855316,1.7016308307647705
gaussian,cpu_rsvd,20,20,102.10819499018089,10.434426296768068,9.262235290220993,10.434426296768068,9.262235290220993,17.657261238736577,8.881117461376506,23.3822209679053,9.542502821334864,0.12285835080855242,1.700432300567627
gaussian,glmnet_cv5,20,20,0.22360679774997896,0.24596747752497689,0.0,0.24596747752497689,0.0,0.7551575730540366,0.9306905774783059,1.0,1.0,-0.1023360426585652,0.12314224243164062
gaussian,glmnet_cv10,20,20,0.22360679774997896,0.24596747752497689,0.0,0.24596747752497689,0.0,0.7551575730540366,0.9306905774783059,1.0,1.0,-0.1023360426585652,0.2019186019897461
gaussian,sklearn_cv5,20,20,0.4264451217206243,0.26625130992204143,0.01843984763369505,0.26625130992204143,0.01843984763369505,1.0798577344831624,1.2966524441997314,1.4299767002480834,1.3932153989492346,-0.054812411848995025,0.03477740287780762
gaussian,sklearn_cv10,20,20,0.4264451217206243,0.26625130992204143,0.01843984763369505,0.26625130992204143,0.01843984763369505,1.0798577344831624,1.2966524441997314,1.4299767002480834,1.3932153989492346,-0.054812411848995025,0.037233591079711914
gaussian,gpu_woodbury,20,20,10.79388321016135,5.6205484028306545,3.5234254708037906,5.6205484028306545,3.5234254708037906,9.579179442902934,6.438418330209579,7.245761805696048,5.623233980917411,0.3918181022312653,2.794468879699707
gaussian,gpu_svd,20,20,10.793883210161342,5.62054840283065,3.5234254708037875,5.62054840283065,3.5234254708037875,9.579179442902939,6.438418330209597,7.245761805696052,5.623233980917426,0.3918181022312703,2.7543506622314453
gaussian,gpu_rsvd,20,20,10.793883210161296,5.620548402830627,3.5234254708037724,5.620548402830627,3.5234254708037724,9.57917944290292,6.438418330209584,7.245761805696038,5.623233980917415,0.3918181022312706,2.7814159393310547
gaussian,cpu_woodbury,20,20,10.793883210161315,5.620548402830637,3.5234254708037787,5.620548402830637,3.5234254708037787,9.57917944290293,6.438418330209576,7.245761805696046,5.6232339809174094,0.3918181022312763,2.639808416366577
gaussian,cpu_svd,20,20,10.793883210161322,5.62054840283064,3.5234254708037813,5.62054840283064,3.5234254708037813,9.579179442902928,6.438418330209583,7.245761805696044,5.623233980917415,0.3918181022312705,2.639293909072876
gaussian,cpu_rsvd,20,20,10.793883210161328,5.620548402830643,3.5234254708037827,5.620548402830643,3.5234254708037827,9.57917944290293,6.438418330209588,7.245761805696046,5.623233980917419,0.3918181022312705,2.642369270324707
gaussian,glmnet_cv5,20,20,0.22360679774997896,0.33541019662496846,0.0,0.33541019662496846,0.0,1.3220389656436864,1.1449671758384083,1.0,1.0,0.5203885567563973,0.10232949256896973
gaussian,glmnet_cv10,20,20,0.22360679774997896,0.33541019662496846,0.0,0.33541019662496846,0.0,1.3220389656436864,1.1449671758384083,1.0,1.0,0.5203885567563973,0.17834115028381348
gaussian,sklearn_cv5,20,20,0.1934064987255724,0.3203100471127652,0.010066766341468842,0.3203100471127652,0.010066766341468842,1.2844942788074494,1.0422789242461394,0.9716009226566503,0.9103133663922942,0.4881670584593652,0.019607067108154297
gaussian,sklearn_cv10,20,20,0.1934064987255724,0.3203100471127652,0.010066766341468842,0.3203100471127652,0.010066766341468842,1.2844942788074494,1.0422789242461394,0.9716009226566503,0.9103133663922942,0.4881670584593652,0.038912296295166016
gaussian,gpu_woodbury,20,20,16.917320598156063,17.140927395906044,8.346856900203042,17.140927395906044,8.346856900203042,10.552707568179981,5.563119960482039,8.709592441742867,5.344480163403323,-0.08449329338763947,2.9382541179656982
gaussian,gpu_svd,20,20,16.917320598155985,17.140927395905965,8.346856900203004,17.140927395905965,8.346856900203004,10.552707568179969,5.563119960482027,8.709592441742856,5.344480163403312,-0.08449329338761015,2.906249523162842
gaussian,gpu_rsvd,20,20,16.917320598155957,17.140927395905933,8.346856900202988,17.140927395905933,8.346856900202988,10.552707568179958,5.563119960482026,8.709592441742847,5.34448016340331,-0.08449329338760996,2.9152469635009766
gaussian,cpu_woodbury,20,20,16.91732059815595,17.140927395905926,8.346856900202987,17.140927395905926,8.346856900202987,10.55270756817996,5.563119960482085,8.70959244174285,5.344480163403367,-0.08449329338761528,2.783085346221924
gaussian,cpu_svd,20,20,16.917320598155975,17.140927395905955,8.346856900202999,17.140927395905955,8.346856900202999,10.552707568179965,5.563119960482027,8.709592441742853,5.344480163403311,-0.08449329338761018,2.808546304702759
gaussian,cpu_rsvd,20,20,16.917320598155932,17.140927395905912,8.346856900202978,17.140927395905912,8.346856900202978,10.55270756817995,5.563119960482025,8.70959244174284,5.3444801634033094,-0.08449329338760982,2.8065176010131836
gaussian,glmnet_cv5,20,20,0.22360679774997896,0.4472135954999579,0.0,0.4472135954999579,0.0,1.2116189866248541,1.0409094599276214,1.0,1.0,-0.03633176899711671,0.1150970458984375
gaussian,glmnet_cv10,20,20,0.22360679774997896,0.4472135954999579,0.0,0.4472135954999579,0.0,1.2116189866248541,1.0409094599276214,1.0,1.0,-0.03633176899711671,0.20734000205993652
gaussian,sklearn_cv5,20,20,0.3046166478525171,0.528223445602496,0.04050492505126908,0.528223445602496,0.04050492505126908,1.4084404686830299,1.3401410170107624,1.1624450295273527,1.287471262970314,-0.04694663169709141,0.019683837890625
gaussian,sklearn_cv10,20,20,0.3046166478525171,0.528223445602496,0.04050492505126908,0.528223445602496,0.04050492505126908,1.4084404686830299,1.3401410170107624,1.1624450295273527,1.287471262970314,-0.04694663169709141,0.03658151626586914
gaussian,gpu_woodbury,20,20,1.3432134975065546,6.939674285282752,0.9330055831304798,6.939674285282752,0.9330055831304798,2.4149943609718054,2.025926814025679,2.316659253672024,2.0535400360683207,0.029943790666689618,2.688278913497925
gaussian,gpu_svd,20,20,1.343213497506545,6.939674285282704,0.9330055831304718,6.939674285282704,0.9330055831304718,2.414994360971796,2.025926814025662,2.3166592536720145,2.053540036068304,0.029943790666693063,2.6795761585235596
gaussian,gpu_rsvd,20,20,1.3432134975065437,6.939674285282697,0.9330055831304708,6.939674285282697,0.9330055831304708,2.4149943609717948,2.0259268140256608,2.3166592536720136,2.0535400360683025,0.02994379066669383,2.673553228378296
gaussian,cpu_woodbury,20,20,1.3432134975065302,6.93967428528263,0.9330055831304594,6.93967428528263,0.9330055831304594,2.4149943609717837,2.025926814025654,2.316659253672003,2.053540036068296,0.029943790666694396,2.5723540782928467
gaussian,cpu_svd,20,20,1.3432134975065442,6.9396742852827,0.9330055831304712,6.9396742852827,0.9330055831304712,2.4149943609717957,2.025926814025662,2.316659253672014,2.053540036068304,0.02994379066669335,2.5704548358917236
gaussian,cpu_rsvd,20,20,1.3432134975065446,6.939674285282702,0.9330055831304714,6.939674285282702,0.9330055831304714,2.414994360971796,2.025926814025663,2.3166592536720145,2.0535400360683047,0.029943790666693178,2.5757486820220947
gaussian,glmnet_cv5,20,20,0.22360679774997896,1.3416407864998738,0.0,1.3416407864998738,0.0,1.0424469447303981,0.9865533558841589,1.0,1.0,-0.07777267511825173,0.11768555641174316
gaussian,glmnet_cv10,20,20,0.22360679774997896,1.3416407864998738,0.0,1.3416407864998738,0.0,1.0424469447303981,0.9865533558841589,1.0,1.0,-0.07777267511825173,0.20464324951171875
gaussian,sklearn_cv5,20,20,0.22390510530628127,1.343132324281385,0.0002485896302519248,1.343132324281385,0.0002485896302519248,1.033076052379,0.9959034944222487,0.9910106769473801,1.0094775801859293,-0.05681469543596883,0.01974344253540039
gaussian,sklearn_cv10,20,20,1.0694466233758018,5.570839914628988,0.7048665213548525,5.570839914628988,0.7048665213548525,2.13018561930577,1.9251661454703937,2.043447515553597,1.9514060075798338,0.020382052465142925,0.03620600700378418
gaussian,gpu_woodbury,20,20,1.1208155240686277,11.431762038436258,0.8156442966533171,11.431762038436258,0.8156442966533171,1.713385165381303,0.9820659143391607,2.0474344153665407,1.1698244659365307,0.6965462778772595,2.749596357345581
gaussian,gpu_svd,20,20,1.1208155240686108,11.431762038436089,0.8156442966533018,11.431762038436089,0.8156442966533018,1.7133851653812868,0.9820659143391393,2.047434415366521,1.1698244659365051,0.6965462778772709,2.7477009296417236
gaussian,gpu_rsvd,20,20,1.1208155240686128,11.431762038436107,0.8156442966533036,11.431762038436107,0.8156442966533036,1.7133851653812886,0.9820659143391409,2.0474344153665234,1.169824465936507,0.6965462778772703,2.7742302417755127
gaussian,cpu_woodbury,20,20,1.120815524068608,11.431762038436057,0.8156442966532991,11.431762038436057,0.8156442966532991,1.7133851653812864,0.9820659143391512,2.047434415366521,1.169824465936519,0.696546277877267,2.6562702655792236
gaussian,cpu_svd,20,20,1.1208155240686133,11.431762038436112,0.815644296653304,11.431762038436112,0.815644296653304,1.7133851653812886,0.9820659143391413,2.047434415366524,1.1698244659365071,0.6965462778772706,2.6414709091186523
gaussian,cpu_rsvd,20,20,1.120815524068611,11.431762038436089,0.815644296653302,11.431762038436089,0.815644296653302,1.7133851653812866,0.9820659143391407,2.047434415366521,1.1698244659365065,0.6965462778772707,2.6671390533447266
gaussian,glmnet_cv5,20,20,0.22360679774997896,2.4596747752497685,0.0,2.4596747752497685,0.0,0.836844957045701,0.8394985255783182,1.0,1.0,0.7485172591220642,0.11464476585388184
gaussian,glmnet_cv10,20,20,0.22360679774997896,2.4596747752497685,0.0,2.4596747752497685,0.0,0.836844957045701,0.8394985255783182,1.0,1.0,0.7485172591220642,0.2093656063079834
gaussian,sklearn_cv5,20,20,0.18444653474605008,2.06807214521048,0.035600239094480804,2.06807214521048,0.035600239094480804,0.7628683818723371,0.7043987668438121,0.9116006202217886,0.8390708802717218,0.7613955662708629,0.01896810531616211
gaussian,sklearn_cv10,20,20,0.18444653474605008,2.06807214521048,0.035600239094480804,2.06807214521048,0.035600239094480804,0.7628683818723371,0.7043987668438121,0.9116006202217886,0.8390708802717218,0.7613955662708629,0.0361628532409668
gaussian,gpu_woodbury,20,20,0.305438869630367,6.332384190357318,0.07793530655275047,6.332384190357318,0.07793530655275047,1.2304945616207248,0.8260591826629139,1.2317225275383192,1.1019894418260647,0.618331630587177,2.7678656578063965
gaussian,gpu_svd,20,20,0.3054388696303784,6.332384190357547,0.07793530655276139,6.332384190357547,0.07793530655276139,1.2304945616207468,0.826059182662935,1.2317225275383412,1.101989441826093,0.6183316305871553,2.7482149600982666
gaussian,gpu_rsvd,20,20,0.3054388696303785,6.332384190357549,0.07793530655276144,6.332384190357549,0.07793530655276144,1.2304945616207468,0.8260591826629349,1.2317225275383412,1.1019894418260927,0.6183316305871553,2.8110198974609375
gaussian,cpu_woodbury,20,20,0.30543886963038097,6.332384190357598,0.07793530655276383,6.332384190357598,0.07793530655276383,1.230494561620753,0.8260591826629231,1.2317225275383474,1.101989441826077,0.618331630587148,2.663658380508423
gaussian,cpu_svd,20,20,0.30543886963037875,6.332384190357554,0.0779353065527617,6.332384190357554,0.0779353065527617,1.230494561620747,0.8260591826629352,1.2317225275383414,1.101989441826093,0.6183316305871553,2.6269872188568115
gaussian,cpu_rsvd,20,20,0.3054388696303791,6.332384190357561,0.07793530655276204,6.332384190357561,0.07793530655276204,1.230494561620748,0.8260591826629357,1.2317225275383425,1.1019894418260936,0.618331630587155,2.6537036895751953
